POST, /api/contributions/5f03b3bd13c79557224b7363, 15:02:02, 127.0.0.1, 0.0, new_note
POST, /api/links/, 15:02:02, 127.0.0.1, 0.0, post_link_view_note
GET, /api/links/to/60633d6a620841af71f6a5e1, 15:02:03, 127.0.0.1, 1.0, get_links_to_note
GET, /api/links/from/5f03b3bd13c79557224b7365, 15:02:04, 127.0.0.1, 1.0, get_links_from
POST, /api/contributions/5f03b3bd13c79557224b7363, 15:02:13, 127.0.0.1, 9.0, new_attachment
POST, /api/upload, 15:02:13, 127.0.0.1, 0.0, upload_attachment
PUT, /api/objects/5f03b3bd13c79557224b7363/60633d75620841af71f6a5e6, 15:02:13, 127.0.0.1, 0.0, edit_object
POST, /api/links, 15:02:13, 127.0.0.1, 0.0, post_link
POST, /api/contributions/5f03b3bd13c79557224b7363, 15:02:17, 127.0.0.1, 4.0, new_attachment
POST, /api/upload, 15:02:17, 127.0.0.1, 0.0, upload_attachment
PUT, /api/objects/5f03b3bd13c79557224b7363/60633d79620841af71f6a5ed, 15:02:17, 127.0.0.1, 0.0, edit_object
POST, /api/links, 15:02:17, 127.0.0.1, 0.0, post_link
GET, /api/links/from/60633d6a620841af71f6a5e1, 15:02:18, 127.0.0.1, 1.0, get_links_from_contrib
POST, /api/contributions/5f03b3bd13c79557224b7363, 15:02:21, 127.0.0.1, 3.0, new_attachment
POST, /api/upload, 15:02:21, 127.0.0.1, 0.0, upload_attachment
PUT, /api/objects/5f03b3bd13c79557224b7363/60633d7d620841af71f6a5f4, 15:02:21, 127.0.0.1, 0.0, edit_object
POST, /api/links, 15:02:21, 127.0.0.1, 0.0, post_link
POST, /api/contributions/5f03b3bd13c79557224b7363, 15:02:26, 127.0.0.1, 5.0, new_attachment
POST, /api/upload, 15:02:26, 127.0.0.1, 0.0, upload_attachment
PUT, /api/objects/5f03b3bd13c79557224b7363/60633d82620841af71f6a5fb, 15:02:26, 127.0.0.1, 0.0, edit_object
POST, /api/links, 15:02:26, 127.0.0.1, 0.0, post_link
GET, /api/links/to/60633d6a620841af71f6a5e1, 15:02:33, 127.0.0.1, 7.0, get_links_to_note
PUT, /api/objects/5f03b3bd13c79557224b7363/60633d6a620841af71f6a5e1, 15:02:33, 127.0.0.1, 0.0, edit_note
POST, /api/notifications/notify/5f03b3bd13c79557224b7363, 15:02:33, 127.0.0.1, 0.0, notify_comm
POST, /api/records/read/5f03b3bd13c79557224b7363/60633d6a620841af71f6a5e1, 15:02:33, 127.0.0.1, 0.0, record_note_edited
